quarantine_id,order_id,source_batch,reason_code,raw_data,quarantined_at
1,O000226,1,inactive_product;invalid_quantity,"{""order_id"":""O000226"",""order_datetime"":""2026-03-21 10:12:00"",""customer_id"":""C0153"",""product_id"":""P017"",""quantity"":""three"",""unit_price"":1281.37,""discount_pct"":0,""payment_method"":""Bank Transfer"",""sales_channel"":""Online"",""updated_at"":""2026-03-22 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
2,O000194,1,invalid_order_datetime,"{""order_id"":""O000194"",""order_datetime"":""31\/02\/2026 10:00"",""customer_id"":""C0075"",""product_id"":""P003"",""quantity"":3,""unit_price"":344.85,""discount_pct"":10,""payment_method"":""Cash"",""sales_channel"":""Online"",""updated_at"":""2026-03-20 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
3,O000339,1,invalid_quantity,"{""order_id"":""O000339"",""order_datetime"":""2026-03-15 12:23:00"",""customer_id"":""C0146"",""product_id"":""P014"",""quantity"":""three"",""unit_price"":358.74,""discount_pct"":0,""payment_method"":""Credit Card"",""sales_channel"":""Online"",""updated_at"":""2026-03-16 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
4,O000258,1,inactive_product,"{""order_id"":""O000258"",""order_datetime"":""2026-03-13 11:31:00"",""customer_id"":""C0058"",""product_id"":""P017"",""quantity"":1,""unit_price"":1281.37,""discount_pct"":0,""payment_method"":""Bank Transfer"",""sales_channel"":""Online"",""updated_at"":""2026-03-14 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
5,O000350,1,inactive_product,"{""order_id"":""O000350"",""order_datetime"":""2026-03-12 21:39:00"",""customer_id"":""C0171"",""product_id"":""P017"",""quantity"":6,""unit_price"":1281.37,""discount_pct"":0,""payment_method"":""PromptPay"",""sales_channel"":""Store"",""updated_at"":""2026-03-13 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
6,O000054,1,inactive_product,"{""order_id"":""O000054"",""order_datetime"":""2026-03-06 15:56:00"",""customer_id"":""C0115"",""product_id"":""P034"",""quantity"":2,""unit_price"":530.09,""discount_pct"":5,""payment_method"":""Cash"",""sales_channel"":""Store"",""updated_at"":""2026-03-07 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
7,O000089,1,invalid_quantity,"{""order_id"":""O000089"",""order_datetime"":""2026-03-04 08:25:00"",""customer_id"":""C0030"",""product_id"":""P035"",""quantity"":-2,""unit_price"":997.99,""discount_pct"":10,""payment_method"":""Credit Card"",""sales_channel"":""Online"",""updated_at"":""2026-03-05 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
8,O000107,1,product_not_found,"{""order_id"":""O000107"",""order_datetime"":""2026-03-03 15:13:00"",""customer_id"":""C0130"",""product_id"":""P999"",""quantity"":1,""unit_price"":766,""discount_pct"":15,""payment_method"":""PromptPay"",""sales_channel"":""Store"",""updated_at"":""2026-03-04 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
9,O000412,1,inactive_product,"{""order_id"":""O000412"",""order_datetime"":""2026-03-03 09:07:00"",""customer_id"":""C0058"",""product_id"":""P017"",""quantity"":6,""unit_price"":1281.37,""discount_pct"":15,""payment_method"":""Cash"",""sales_channel"":""Online"",""updated_at"":""2026-03-04 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
10,O000303,1,invalid_discount_pct,"{""order_id"":""O000303"",""order_datetime"":""2026-03-02 22:11:00"",""customer_id"":""C0137"",""product_id"":""P007"",""quantity"":4,""unit_price"":619.54,""discount_pct"":120,""payment_method"":""PromptPay"",""sales_channel"":""Online"",""updated_at"":""2026-03-03 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
